Who?	누구?
Hello!	안녕!
No way!	절대 아니야.
No way!	그럴리가!
I'm sad.	슬퍼.
Me, too.	나도.
Perfect!	완벽해!
Shut up!	시끄러워!
Welcome.	어서오세요.
Welcome.	환영합니다.
Cheer up!	힘내!
Get lost.	꺼져.
I'm ugly.	나는 못 생겼다.
It hurts.	아파.
Let's go!	가자!
Don't lie.	거짓말 하지 마.
Don't lie.	거짓말 하지 마세요.
I'm sorry.	미안해.
I'm sorry.	미안해요.
I'm sorry.	죄송합니다.
I'm sorry.	유감입니다.
Of course.	물론이죠.
Seriously?	진심이야?
Take care.	주의하세요.
Be careful.	조심해!
He is nice.	걔 괜찮아.
Hold still.	가만히 있으세요.
Hold still.	가만히 있어.
How lovely!	어찌나 사랑스러운지!
I felt bad.	난 기분이 나빴다.
Is that OK?	괜찮은 거예요?
Love hurts.	사랑은 아프다.
Boys do cry.	남자애도 운다.
I don't lie.	나는 거짓말 하지 않습니다.
I don't lie.	난 거짓말 안해.
I don't lie.	나는 거짓말 하지 않아.
I'm nervous.	긴장돼요.
I'm nervous.	떨려요.
I'm shocked.	충격이야.
It's a pity.	안타까워요.
What's that?	저건 뭐야?
You're mine.	넌 내 거야.
You're mine.	당신은 나의 것입니다.
Blood is red.	피는 붉다.
Come quickly!	빨리 와!
Come quickly!	빨리 오세요!
Don't eat it.	먹지 마.
I don't know.	나는 몰라요.
I hate liars.	난 거짓말쟁이가 싫어.
I need money.	돈이 필요해요.
Is that okay?	괜찮은 거예요?
Is this mine?	이거 내꺼니?
Is this wine?	이게 와인이야?
It's suicide.	자살입니다.
Just keep it.	그냥 그거 가져.
We don't lie.	우리는 거짓말을 하지 않아요.
We don't lie.	우린 거짓말 안해.
We're inside.	우리 안에 들어와 있어.
We're inside.	우린 안에 있어요.
What is that?	저것은 무엇입니까?
Can I ask why?	이유를 물어봐도 돼?
Grab the rope.	로프를 잡으세요.
I am homesick.	나 향수병 걸렸어.
I can't sleep.	잠이 와.
I feel guilty.	죄책감이 들어.
I hate myself.	나는 내 자신이 싫어.
I smell blood.	피 냄새가 납니다.
I use Firefox.	나는 파이어폭스를 사용해.
I want to die.	죽고 싶어요.
I want to die.	죽고 싶어.
I'll kill him.	나는 그를 죽일 것이다.
I'm depressed.	우울해.
Is that blood?	그거 피야?
My head hurts.	머리가 아파요.
We want peace.	우리는 평화를 원합니다.
Autumn is here.	가을이 되었습니다.
Autumn is here.	가을이 왔어요.
Can I help you?	제가 좀 도와 드릴까요?
Do you hear me?	제 말이 들리세요?
He was hard up.	그는 돈에 쪼들리고 있었다.
I don't buy it.	못 믿어.
I like reading.	독서를 좋아합니다.
I love lasagna.	저는 라자냐를 좋아해요.
I love my home.	난 내 집이 좋아.
I study Korean.	한국말을 공부합니다.
I'm very sorry.	정말 미안해.
I'm very sorry.	정말 죄송합니다.
Keep Tom there.	톰은 여기에 두세요.
Only God knows.	신만이 아실 것입니다.
Read this book.	이 책 읽어.
Read this book.	이 책을 읽으세요.
Sorry I'm late.	늦어서 미안해.
That's suicide.	그것은 자살입니다.
Boil some water.	물 좀 끓여.
Can you help me?	저를 좀 도와 주실래요?
Congratulations!	축하해!
Do you like rap?	랩 좋아해요?
Do you like rap?	랩 좋아해?
Don't lie to me.	내게 거짓말 하지 마.
Don't lie to me.	제게 거짓말 하지 마세요.
Don't lie to us.	우리에게 거짓말 하지 마.
Don't lie to us.	저희에게 거짓말 하지 마세요.
Drive carefully.	운전 조심하세요.
Drive carefully.	운전 조심해.
Have a good day.	좋은하루 되세요.
He came at dawn.	그는 새벽에 왔다.
He is depressed.	그는 우울하다.
He loves trains.	그는 열차를 좋아한다.
I hate funerals.	장례식이 싫어.
I hate my voice.	나는 내 목소리가 싫다.
I know Tom well.	나는 톰을 잘 안다.
I was convicted.	나는 유죄 판결을 받았다.
I work at a zoo.	나는 동물원에서 일해.
I'm heartbroken.	제 마음이 아파요.
It doesn't hurt.	아프지 않아.
Keep the change.	잔돈은 가지세요.
My blood boiled.	내 피가 끓었다.
She's depressed.	그녀는 우울하다.
Sorry, I'm late.	늦어서 미안합니다.
The bag is full.	가방이 꽉 찼습니다.
There was blood.	피가 있었다.
They want peace.	그들은 평화를 원한다.
They were naive.	걔들이 순진했어.
This is suicide!	이것은 자살입니다.
Tom was too old.	톰은 너무 늙었어.
What time is it?	몇시 입니까?
Are you sleeping?	자고 있어?
Call this number.	이 번호로 전화해.
Do you like fish?	생선 좋아해요?
Do you like fish?	생선 좋아해?
Do you like fish?	물고기 좋아하나요?
Do you like fish?	물고기 좋아해?
Drink some water.	물 좀 마셔.
He loves singing.	그는 노래하기를 좋아한다.
Her hair is long.	그녀의 머리카락은 길어.
Her hair is long.	그녀의 머리카락은 길다.
Here is the bill.	여기 계산서 입니다.
I felt very safe.	나는 매우 안전하다고 느꼈다.
I like languages.	언어를 좋아합니다.
I like languages.	언어가 좋습니다.
I live in Turkey.	터키에 살아요.
I lost my wallet.	지갑을 잃어버렸어.
I missed the bus.	버스를 놓쳤어요.
I said I'm sorry.	미안하다고 했잖아.
I said I'm sorry.	미안하다고 했잖아요.
I'm not suicidal.	나는 자살하고 싶지 않다.
Is the bank open?	은행 문 열었어요?
Is the bank open?	은행 해요?
There aren't any.	없다.
They're amateurs.	걔네 초짜야.
Think about this.	생각 좀 해봐.
Tom isn't skinny.	톰은 마르지 않았다.
Water the plants.	식물에 물을 주세요.
We can't give up.	우린 포기할 수 없어.
We can't give up.	포기할 수 없어요.
What do you like?	무엇을 좋아하세요?
What do you like?	뭘 좋아해?
What do you like?	뭐가 좋아?
You'll regret it.	너 후회할거야.
I believe in love.	난 사랑을 믿는다.
I have a headache.	머리가 아파요.
I was intoxicated.	술 취했었다.
I won't permit it.	나는 그것을 허락하지 않을거야.
I'm a simple girl.	저는 단순한 소녀에요.
I'm in charge now.	이제 내가 책임을 지고 있다.
It's a dictionary.	이것은 사전이다.
Leave me in peace!	저를 내버려 두세요!
Look at the clock.	시계를 보세요.
May God bless you.	신께서 당신을 축복하시길.
Nobody is perfect.	그 누구도 완벽하지 않는다.
She loves singing.	그녀는 노래하기를 좋아한다.
Take the medicine.	그 약을 먹으세요.
They're all liars.	너희 모두 거짓말쟁이다.
Tom vomited blood.	톰은 피를 토했다.
Tom won the match.	톰은 경기에서 이겼다.
Turn on the radio.	라디오를 켜세요.
Where is the bank?	그 은행은 어디에 있어요?
Where is the bank?	그 은행은 어디 있어?
Why are you lying?	왜 거짓말 하는거야?
You are beautiful.	아름다우시네요.
You can have mine.	너는 내 것을 가질 수 있다.
You're both liars.	너희 둘 다 거짓말쟁이다.
Can I see this one?	이것 좀 보여주실래요?
Don't get me wrong.	오해하지 마.
He kept me waiting.	그는 나를 기다리게 했다.
I didn't know that.	그건 몰랐어요.
I don't understand.	이해가 안돼.
I need to warn Tom.	나는 톰에게 경고해야 해.
I really like snow.	나는 눈이 정말 좋아요.
I really like snow.	난 눈이 정말 좋아.
Is that real blood?	그거 진짜 피야?
Life is never easy.	사는게 쉽지가 않아.
She has small feet.	그녀는 발이 작다.
Some water, please.	물 좀 주세요, 제발.
The night was cold.	그날 밤은 추웠어.
Tie your shoelaces.	신발끈을 묶으세요.
We were retreating.	우리는 후퇴하고 있었다.
We've been worried.	계속 걱정했어.
Whose book is this?	이것은 누구의 책입니까?
Do you like English?	영어 좋아해요?
Do you like English?	영어 좋아해?
Do you like cooking?	요리 좋아해요?
Do you like cooking?	요리 좋아해?
Do you like singing?	노래하는 거 좋아해요?
Do you like singing?	노래하는 거 좋아해?
Everybody loves her.	모두 그녀를 사랑한다.
Everybody loves him.	모두가 그를 사랑한다.
How may I serve you?	어떻게 도와드릴까요?
I did nothing wrong.	난 잘못한 거 없어.
I do not fear death.	전 죽음이 두렵지 않습니다.
I do not fear death.	난 죽음이 두렵지 않다.
I don't know either.	나도 몰라.
I don't sleep a lot.	나는 잠이 많지 않아요.
I don't sleep a lot.	나는 많이 자지 않아요.
I don't sleep a lot.	나는 잠이 별로 없어.
I felt the same way.	동감이야.
I felt the same way.	동감이에요.
I have a dictionary.	나에게 사전이 있다.
I made reservations.	예약해 뒀어요.
I made reservations.	예약해 놨어.
I'll never tell you.	나는 결코 너에게 말하지 않을 것이다.
I'll take the wheel.	내가 운전할께.
I'm still in school.	저는 아직 학교에 다녀요.
I'm still in school.	나는 아직 학교에 다녀.
I've been kidnapped.	나 유괴 당한 적 있어.
I've seen you on TV.	티비에서 봤어요.
It's not your fault.	네 탓은 아니야.
Let's do this later.	이건 좀 이따 하자.
Now I've had enough.	이제 충분히 했습니다.
Please drive slowly.	천천히 운전하세요.
That's your funeral.	그건 네 책임이야.
This is so relaxing.	이거 정말 기분 좋다.
This is so relaxing.	긴장이 풀리는데요.
This site is useful.	이 사이트는 유용합니다.
Tom looks very sick.	톰은 많이 아파보여.
Tom must be winning.	톰이 이기고 있나봐.
Was the bank closed?	은행 문 닫혀 있었어?
Was the bank closed?	은행 문은 닫혀 있었어요?
Watch your language.	입을 조심해라.
Watch your language.	입조심해라.
We had fun with Tom.	우리는 톰과 즐거운 시간을 가졌다.
What does this mean?	이게 무슨 뜻이에요?
Who taught you that?	그걸 누가 가르쳐 줬어요?
Are these yours, Tom?	탐, 이것들이 너의 것이야?
Blood was everywhere.	피가 여기저기 있었다.
Can I take a message?	메세지를 전해 드릴까요?
Did you buy cat food?	고양이 사료 샀어?
Don't lie. Be honest.	거짓말 하지 마세요. 솔직해지세요.
Don't lie. Be honest.	거짓말 하지 말고, 솔직해져 봐.
He attempted suicide.	그는 자살을 시도했다.
He committed suicide.	그는 자살했다.
He is in his library.	그는 그의 서재에 있다.
I don't want to live.	살고 싶지 않아.
I have money for you.	너에게 줄 돈이 있다.
I met Tom after work.	난 퇴근 후 톰을 만났다.
I now agree with Tom.	나는 이제 톰의 의견에 동의한다.
I was late to school.	학교에 지각했다.
I'm in the same boat.	나도 같은 처지다.
It rarely snows here.	여긴 거의 눈이 안 와.
It rarely snows here.	이곳은 눈이 거의 내리지 않습니다.
It was disappointing.	그것은 실망스러웠다.
My blood was boiling.	내 피가 끓고 있었다.
Sorry for being late.	늦어서 죄송합니다.
That medicine worked.	그 약은 효과가 있었다.
That medicine worked.	그 약은 잘 들었다.
That's my dictionary.	그건 내 사전이야.
This camera is cheap.	이 카메라는 쌉니다.
This room is too big.	이 방은 너무 커요.
Tom baked three pies.	톰은 파이를 세개 구웠어.
Tom did that already.	톰은 그것을 이미 했어.
Water reflects light.	물은 빛을 반사한다.
What are you washing?	당신은 무엇을 씻고 있습니까?
Why can't they do it?	그들은 왜 그것을 할 수 없죠?
Close your eyes again.	눈을 다시 감으세요.
Do you know this song?	이 노래 알아?
